Timestamp,Aadhaar_ID,Update_Type,Previous_Pincode,Current_Pincode
2023-09-04 00:00:00,UID784789469658,Biometric Update,270129,270129
2023-12-13 00:00:00,UID692659752556,Address Change,278449,243170
2023-01-06 00:00:00,UID405214368233,Email Update,267508,267508
2023-01-28 00:00:00,UID317749093303,DoB Update,222849,222849
2023-01-11 00:00:00,UID453075517282,DoB Update,219404,219404
2023-10-23 00:00:00,UID938743671985,Email Update,264929,264929
2023-10-20 00:00:00,UID677202260439,Email Update,213338,213338
2023-02-23 00:00:00,UID165969041937,DoB Update,223943,223943
2023-06-15 00:00:00,UID978027443600,DoB Update,219404,219404
2023-03-26 00:00:00,UID255437897661,Email Update,200458,200458
2023-09-22 00:00:00,UID145574187193,Address Change,206707,223253
2023-04-24 00:00:00,UID842738719221,Mobile Update,256145,256145
2023-09-07 00:00:00,UID138856511644,Email Update,236767,236767
2023-04-22 00:00:00,UID392573893243,Mobile Update,207782,207782
2023-10-22 00:00:00,UID340922374332,Biometric Update,247438,247438
2023-11-17 00:00:00,UID769914801957,Address Change,206707,288959
2023-12-03 00:00:00,UID317125482664,Email Update,242645,242645
2023-09-15 00:00:00,UID172083248044,Email Update,203361,203361
2023-09-16 00:00:00,UID974759112093,Address Change,222849,216598
2023-08-15 00:00:00,UID239225325954,Biometric Update,218186,218186
2023-06-15 00:00:00,UID191654215857,Mobile Update,271212,271212
2023-03-21 00:00:00,UID955677355084,Address Change,250526,243170
2023-05-16 00:00:00,UID307933219620,Email Update,202712,202712
2023-10-13 00:00:00,UID244419782247,DoB Update,255833,255833
2023-07-06 00:00:00,UID700405434154,Address Change,220871,281602
2023-05-04 00:00:00,UID429005931552,DoB Update,239129,239129
2023-11-10 00:00:00,UID574120326737,Mobile Update,283039,283039
2023-08-03 00:00:00,UID692565088949,Biometric Update,284035,284035
2023-09-29 00:00:00,UID409554131720,Address Change,284035,210947
2023-09-27 00:00:00,UID876535985463,Biometric Update,269828,269828
2023-02-15 00:00:00,UID216720157267,Biometric Update,241824,241824
2023-10-18 00:00:00,UID468977616861,Address Change,213523,229378
2023-10-20 00:00:00,UID693220667812,DoB Update,261944,261944
2023-10-04 00:00:00,UID873179835257,DoB Update,220871,220871
2023-09-24 00:00:00,UID482695330309,Biometric Update,212140,212140
2023-10-21 00:00:00,UID245816465420,Address Change,267864,279073
2023-04-10 00:00:00,UID888537548809,Mobile Update,284035,284035
